ダウンロードした時刻：2019/04/18 15:54:04

,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),平均湿度(％),平均湿度(％),平均湿度(％),最小相対湿度(％),最小相対湿度(％),最小相対湿度(％),平均現地気圧(hPa),平均現地気圧(hPa),平均現地気圧(hPa),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),平均風速(m/s),平均風速(m/s),平均風速(m/s)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号
2018/1/1,6.8,8,1,13.3,8,1,1.6,8,1,51,8,1,20,8,1,1011.9,8,1,0,1,8,1,9.3,0,8,1,3.1,8,1
2018/1/2,7.3,8,1,11.4,8,1,4.8,8,1,34,8,1,21,8,1,1013.4,8,1,0,1,8,1,9.3,0,8,1,4.6,8,1
2018/1/3,5.2,8,1,8.8,8,1,1.4,8,1,37,8,1,16,8,1,1012.5,8,1,0,1,8,1,9.5,0,8,1,6.2,8,1
2018/1/4,4.8,8,1,10.0,8,1,0.2,8,1,37,8,1,19,8,1,1017.3,8,1,0,1,8,1,9.4,0,8,1,2.6,8,1
2018/1/5,3.5,8,1,6.1,8,1,1.6,8,1,60,8,1,38,8,1,1014.6,8,1,0.5,0,8,1,0.1,0,8,1,1.7,8,1
2018/1/6,5.6,8,1,9.7,8,1,0.8,8,1,54,8,1,33,8,1,1010.6,8,1,0,1,8,1,9.3,0,8,1,2.9,8,1
2018/1/7,7.4,8,1,11.5,8,1,4.4,8,1,34,8,1,20,8,1,1019.0,8,1,0,1,8,1,9.2,0,8,1,4.3,8,1
2018/1/8,6.4,8,1,10.0,8,1,3.6,8,1,66,8,1,42,8,1,1013.9,8,1,15.0,0,8,1,0.4,0,8,1,1.9,8,1
2018/1/9,9.5,8,1,15.4,8,1,4.7,8,1,66,8,1,30,8,1,995.9,8,1,6.0,0,8,1,5.1,0,8,1,5.9,8,1
2018/1/10,9.0,8,1,10.6,8,1,6.7,8,1,41,8,1,23,8,1,1006.6,8,1,0,1,8,1,9.5,0,8,1,9.5,8,1
2018/1/11,6.4,8,1,9.6,8,1,2.8,8,1,32,8,1,14,8,1,1011.2,8,1,0,1,8,1,9.4,0,8,1,4.5,8,1
2018/1/12,3.7,8,1,7.2,8,1,0.2,8,1,29,8,1,15,8,1,1018.7,8,1,0,1,8,1,7.1,0,8,1,2.1,8,1
